Probe,logFC,p.val,adj.p.val
1634664_at,-1.05E-01,7.55E-05,5.70E-03
1631479_at,-6.66E-02,7.67E-05,5.77E-03
1634178_at,1.01E-01,7.71E-05,5.77E-03
1634557_at,2.05E-01,7.90E-05,5.89E-03
1637292_at,8.99E-02,8.04E-05,5.97E-03
1633761_at,1.91E-01,8.26E-05,6.11E-03
1636281_at,9.18E-02,8.41E-05,6.20E-03
1630282_at,-1.12E-01,8.53E-05,6.22E-03
1628197_at,-1.57E-01,8.53E-05,6.22E-03
1640097_at,-1.49E-01,8.55E-05,6.22E-03
1640315_at,1.19E-01,8.61E-05,6.22E-03
1633153_at,-8.00E-02,8.62E-05,6.22E-03
1628677_at,1.24E-01,8.64E-05,6.22E-03
1624584_at,4.81E-01,8.92E-05,6.40E-03
1625891_at,-2.56E-01,9.15E-05,6.54E-03
1636759_at,1.09E-01,9.24E-05,6.55E-03
1626715_at,-1.27E-01,9.25E-05,6.55E-03
1627881_at,2.19E-01,9.26E-05,6.55E-03
1635293_s_at,-9.28E-02,9.34E-05,6.58E-03
1640974_a_at,1.34E-01,9.63E-05,6.76E-03
1640107_at,-3.52E-01,9.71E-05,6.78E-03
1630041_at,-1.36E-01,9.73E-05,6.78E-03
1628118_at,1.90E-01,9.81E-05,6.81E-03
1626461_at,-1.60E-01,9.91E-05,6.86E-03
1626463_at,-1.77E-01,1.00E-04,6.90E-03
1641654_a_at,-8.03E-02,1.01E-04,6.96E-03
1623532_at,3.23E-01,1.04E-04,7.09E-03
1636767_at,4.30E-01,1.04E-04,7.11E-03
1639205_s_at,-8.51E-02,1.07E-04,7.28E-03
1626699_at,5.24E-01,1.08E-04,7.30E-03
1626230_s_at,-1.32E-01,1.08E-04,7.30E-03
1625389_at,1.74E-01,1.09E-04,7.30E-03
1633843_at,2.27E-01,1.10E-04,7.36E-03
1641342_at,1.30E-01,1.12E-04,7.50E-03
1623308_at,1.48E-01,1.16E-04,7.72E-03
1634759_at,-1.09E-01,1.17E-04,7.74E-03
1632035_at,-1.06E-01,1.20E-04,7.93E-03
1631036_at,-1.51E-01,1.21E-04,7.99E-03
1639190_at,-1.74E-01,1.24E-04,8.11E-03
1635965_at,1.63E-01,1.24E-04,8.11E-03
1639776_s_at,-7.59E-02,1.25E-04,8.14E-03
1636618_at,-1.25E-01,1.27E-04,8.23E-03
1630746_at,-1.07E-01,1.27E-04,8.23E-03
1634493_at,1.30E-01,1.28E-04,8.25E-03
1624877_at,2.81E-01,1.29E-04,8.27E-03
1638634_at,8.01E-02,1.30E-04,8.31E-03
1633405_s_at,-1.09E-01,1.30E-04,8.33E-03
1624442_at,1.48E-01,1.34E-04,8.49E-03
1632260_s_at,1.43E-01,1.34E-04,8.50E-03
1631525_at,-1.10E-01,1.36E-04,8.58E-03
1623166_at,9.67E-02,1.37E-04,8.58E-03
1632573_at,1.18E-01,1.37E-04,8.58E-03
1630004_at,1.14E-01,1.37E-04,8.58E-03
1628402_a_at,-8.92E-02,1.41E-04,8.78E-03
1623823_a_at,4.55E-01,1.43E-04,8.90E-03
1631800_at,9.87E-02,1.44E-04,8.90E-03
1628688_at,1.70E-01,1.44E-04,8.90E-03
1625158_at,1.28E-01,1.45E-04,8.90E-03
1630072_a_at,9.42E-02,1.45E-04,8.90E-03
1623424_a_at,1.29E-01,1.46E-04,8.90E-03
1633425_at,-2.33E-01,1.47E-04,8.91E-03
1628469_a_at,9.46E-02,1.47E-04,8.91E-03
1635578_at,-1.96E-01,1.47E-04,8.91E-03
1632676_s_at,1.26E-01,1.48E-04,8.91E-03
1631715_at,3.73E-01,1.49E-04,8.95E-03
1625436_at,-4.78E-01,1.50E-04,9.00E-03
1626201_at,-4.47E-01,1.51E-04,9.01E-03
1637404_at,9.15E-02,1.52E-04,9.04E-03
1631806_at,-2.15E-01,1.54E-04,9.09E-03
1629744_a_at,1.35E-01,1.56E-04,9.09E-03
1623325_at,-1.48E-01,1.56E-04,9.09E-03
1640104_at,-9.85E-02,1.56E-04,9.09E-03
1641009_at,9.94E-02,1.56E-04,9.09E-03
1639292_at,1.49E-01,1.56E-04,9.09E-03
1636006_at,1.72E-01,1.57E-04,9.09E-03
1623629_at,2.35E-01,1.57E-04,9.09E-03
1634560_at,6.99E-02,1.57E-04,9.09E-03
1630543_at,8.64E-02,1.57E-04,9.09E-03
1623147_at,-6.37E-02,1.59E-04,9.10E-03
1624711_at,1.01E-01,1.59E-04,9.10E-03
1630538_at,1.52E-01,1.59E-04,9.10E-03
1633298_at,-1.63E-01,1.60E-04,9.12E-03
1628076_at,-2.06E-01,1.61E-04,9.16E-03
1641309_s_at,1.19E-01,1.64E-04,9.29E-03
1623848_a_at,-3.78E-01,1.68E-04,9.49E-03
