Probe,logFC,p.val,adj.p.val
1634608_at,-1.25E-01,7.65E-04,3.12E-02
1633452_a_at,-1.13E-01,7.65E-04,3.12E-02
1625778_at,1.96E-01,7.75E-04,3.16E-02
1637174_s_at,-1.13E-01,7.77E-04,3.16E-02
1627407_at,-2.08E-01,7.82E-04,3.17E-02
1639747_at,6.66E-02,7.89E-04,3.19E-02
1635184_at,8.74E-02,7.91E-04,3.20E-02
1629616_at,9.08E-02,7.99E-04,3.22E-02
1630170_at,-9.22E-02,8.05E-04,3.24E-02
1632011_at,-1.24E-01,8.07E-04,3.24E-02
1639101_at,3.13E-01,8.13E-04,3.26E-02
1625270_at,4.18E-01,8.17E-04,3.27E-02
1636921_at,1.12E-01,8.19E-04,3.27E-02
1641148_a_at,1.17E-01,8.35E-04,3.32E-02
1633927_a_at,-1.12E-01,8.36E-04,3.32E-02
1640893_a_at,7.70E-02,8.41E-04,3.34E-02
1632656_at,3.48E-01,8.44E-04,3.34E-02
1622946_at,2.00E-01,8.47E-04,3.34E-02
1626724_at,1.58E-01,8.48E-04,3.34E-02
1625252_s_at,-1.58E-01,8.52E-04,3.35E-02
1625026_at,3.00E-01,8.59E-04,3.37E-02
1633434_at,1.66E-01,8.61E-04,3.37E-02
1641533_at,8.55E-02,8.72E-04,3.41E-02
1628690_at,-2.95E-01,8.84E-04,3.45E-02
1632251_s_at,-7.09E-02,8.87E-04,3.45E-02
1633227_s_at,-1.41E-01,8.94E-04,3.47E-02
1628512_at,1.18E-01,8.95E-04,3.47E-02
1630010_a_at,-1.59E-01,9.02E-04,3.49E-02
1636268_at,-1.09E-01,9.07E-04,3.50E-02
1625281_at,-3.80E-01,9.16E-04,3.52E-02
1628141_at,-5.59E-02,9.16E-04,3.52E-02
1626543_at,-7.42E-02,9.23E-04,3.54E-02
1634713_at,-4.68E-02,9.44E-04,3.61E-02
