Probe,logFC,p.val,adj.p.val
1634238_a_at,-7.63E-02,7.31E-04,3.02E-02
1632190_at,-1.27E-01,7.37E-04,3.03E-02
1625342_at,2.20E-01,7.37E-04,3.03E-02
1639442_a_at,3.33E-01,7.40E-04,3.03E-02
1636378_a_at,-1.72E-01,7.41E-04,3.03E-02
1626835_at,7.25E-02,7.49E-04,3.06E-02
1625408_at,6.06E-02,7.56E-04,3.08E-02
1631821_at,1.37E-01,7.69E-04,3.12E-02
1640731_at,7.57E-02,7.72E-04,3.12E-02
1633062_at,-1.02E-01,7.73E-04,3.12E-02
1632921_at,4.16E-01,7.73E-04,3.12E-02
1634370_a_at,-2.09E-01,7.76E-04,3.13E-02
1633928_at,2.16E-01,7.77E-04,3.13E-02
1624362_at,1.31E-01,7.81E-04,3.13E-02
1641152_at,7.60E-02,7.81E-04,3.13E-02
1627296_at,7.29E-02,7.87E-04,3.14E-02
1636771_at,4.52E-02,7.88E-04,3.14E-02
1628409_at,4.94E-02,7.88E-04,3.14E-02
1632400_at,2.70E-01,7.93E-04,3.15E-02
1628726_s_at,8.21E-02,7.99E-04,3.17E-02
1624939_at,2.36E-01,8.05E-04,3.18E-02
1640089_at,-4.77E-02,8.08E-04,3.19E-02
1624297_at,-1.11E-01,8.10E-04,3.19E-02
1625415_at,7.25E-02,8.12E-04,3.19E-02
1628512_at,1.45E-01,8.16E-04,3.20E-02
1636888_a_at,-1.38E-01,8.19E-04,3.21E-02
1632901_s_at,-1.52E-01,8.27E-04,3.23E-02
1641409_at,6.40E-02,8.32E-04,3.24E-02
1624130_at,-2.16E-01,8.44E-04,3.28E-02
1631459_at,5.83E-02,8.45E-04,3.28E-02
1634606_a_at,-5.73E-02,8.45E-04,3.28E-02
1623216_s_at,1.16E-01,8.49E-04,3.28E-02
1633448_at,-6.95E-02,8.50E-04,3.28E-02
1624583_at,-5.31E-02,8.54E-04,3.29E-02
1633086_s_at,-1.29E-01,8.62E-04,3.31E-02
1637553_at,6.91E-02,8.75E-04,3.36E-02
1628311_at,-5.93E-02,8.88E-04,3.40E-02
1636005_at,-1.44E-01,8.92E-04,3.41E-02
