Probe,logFC,p.val,adj.p.val
1634521_at,-2.87E-01,5.88E-05,2.65E-03
1634854_at,-2.44E-01,5.91E-05,2.66E-03
1636186_s_at,1.54E-01,5.92E-05,2.66E-03
1641532_at,1.91E-01,6.04E-05,2.70E-03
1641214_at,1.05E-01,6.14E-05,2.74E-03
1639101_at,-5.64E-01,6.15E-05,2.74E-03
1623495_at,-1.32E-01,6.18E-05,2.75E-03
1641074_s_at,-1.15E-01,6.22E-05,2.76E-03
1632818_at,1.30E-01,6.33E-05,2.80E-03
1634195_at,2.50E-01,6.40E-05,2.83E-03
1633154_at,-1.70E-01,6.44E-05,2.84E-03
1624787_s_at,-2.39E-01,6.53E-05,2.86E-03
1637775_at,-2.39E-01,6.53E-05,2.86E-03
1625533_at,-8.57E-02,6.62E-05,2.90E-03
1625176_at,-4.83E-01,6.65E-05,2.90E-03
1633718_at,9.09E-02,6.65E-05,2.90E-03
1633515_s_at,8.07E-02,6.75E-05,2.94E-03
1623983_at,2.61E-01,6.87E-05,2.98E-03
1635130_a_at,-1.25E-01,6.92E-05,2.99E-03
1623900_a_at,2.75E-01,6.93E-05,2.99E-03
1635412_at,-2.55E-01,6.95E-05,2.99E-03
1640478_at,-2.58E-01,7.06E-05,3.03E-03
1632380_at,1.37E-01,7.08E-05,3.03E-03
1624497_at,2.04E-01,7.08E-05,3.03E-03
1625144_at,-1.33E-01,7.24E-05,3.09E-03
1628963_at,2.12E-01,7.28E-05,3.09E-03
1627945_at,1.05E-01,7.28E-05,3.09E-03
1636764_at,-3.18E-01,7.30E-05,3.09E-03
1623216_s_at,-2.37E-01,7.35E-05,3.11E-03
1634063_a_at,2.00E-01,7.36E-05,3.11E-03
1624362_at,-2.89E-01,7.39E-05,3.11E-03
1633883_at,1.62E-01,7.42E-05,3.12E-03
1633503_at,2.13E-01,7.55E-05,3.17E-03
1630408_s_at,1.17E-01,7.58E-05,3.17E-03
1633957_s_at,-1.56E-01,7.75E-05,3.24E-03
1632430_at,-4.53E-01,7.81E-05,3.25E-03
1635215_at,9.53E-02,7.88E-05,3.27E-03
1635181_at,-1.58E-01,7.90E-05,3.28E-03
1626441_at,-2.87E-01,7.93E-05,3.28E-03
1634408_at,9.98E-02,8.03E-05,3.32E-03
1634699_a_at,-2.57E-01,8.07E-05,3.33E-03
1632606_a_at,1.69E-01,8.19E-05,3.37E-03
1632190_at,1.87E-01,8.22E-05,3.37E-03
1637602_at,-3.34E-01,8.23E-05,3.37E-03
1640920_at,-2.13E-01,8.29E-05,3.39E-03
1633593_s_at,3.20E-01,8.32E-05,3.39E-03
1637093_at,-1.75E-01,8.38E-05,3.40E-03
1625022_a_at,3.07E-01,8.38E-05,3.40E-03
1636598_s_at,1.13E-01,8.41E-05,3.41E-03
